tx_id,timestamp,client_ip,x_forwarded_for,host,method,url,url_type,response_code,anomaly_score,severity,rule_ids,messages,user_agent,is_vm_scan,confirmed_attack,blocked,block_mode,block_time
187e5039,12/Aug/2025:09:07:16.572164 +0530,192.168.98.34,,192.168.98.139,GET,/DVWA,OTHER,301,0,info,"920350,920350",Host header is a numeric IP address;Host header is a numeric IP address,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 Edg/139.0.0.0",False,False,False,iptables,2025-08-12T03:40:00.776862+00:00
a8f9d23b,12/Aug/2025:09:07:16.735351 +0530,192.168.98.34,,192.168.98.139,GET,/DVWA/,OTHER,302,0,info,"920350,920350",Host header is a numeric IP address;Host header is a numeric IP address,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 Edg/139.0.0.0",False,False,False,iptables,2025-08-12T03:40:00.776862+00:00
b94fab15,12/Aug/2025:09:07:16.747649 +0530,192.168.98.34,,192.168.98.139,GET,/DVWA/login.php,PHP,200,0,info,"920350,920350",Host header is a numeric IP address;Host header is a numeric IP address,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 Edg/139.0.0.0",False,False,False,iptables,2025-08-12T03:40:00.776862+00:00
8dd06a15,12/Aug/2025:09:07:16.922008 +0530,192.168.98.34,,192.168.98.139,GET,/DVWA/dvwa/css/login.css,OTHER,200,0,info,"920350,920350",Host header is a numeric IP address;Host header is a numeric IP address,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 Edg/139.0.0.0",False,False,False,iptables,2025-08-12T03:40:00.776862+00:00
e7e02834,12/Aug/2025:09:07:16.938496 +0530,192.168.98.34,,192.168.98.139,GET,/DVWA/dvwa/images/login_logo.png,OTHER,200,0,info,"920350,920350",Host header is a numeric IP address;Host header is a numeric IP address,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 Edg/139.0.0.0",False,False,False,iptables,2025-08-12T03:40:00.776862+00:00
6d7a5317,12/Aug/2025:09:07:16.959757 +0530,192.168.98.34,,192.168.98.139,GET,/favicon.ico,OTHER,404,0,info,"920350,920350",Host header is a numeric IP address;Host header is a numeric IP address,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 Edg/139.0.0.0",False,False,False,iptables,2025-08-12T03:40:00.776862+00:00
187e5039,12/Aug/2025:09:07:22.899721 +0530,192.168.98.34,,192.168.98.139,POST,/DVWA/login.php,PHP,302,0,info,"920350,920350",Host header is a numeric IP address;Host header is a numeric IP address,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 Edg/139.0.0.0",False,False,False,iptables,2025-08-12T03:40:00.776862+00:00
a8f9d23b,12/Aug/2025:09:07:22.908157 +0530,192.168.98.34,,192.168.98.139,AAAAAE,192.168.98.34,OTHER,200,0,info,"920350,920350",Host header is a numeric IP address;Host header is a numeric IP address,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 Edg/139.0.0.0",False,False,False,iptables,2025-08-12T03:40:00.776862+00:00
b94fab15,12/Aug/2025:09:07:23.082175 +0530,192.168.98.34,,192.168.98.139,QAAAAE,192.168.98.34,OTHER,200,0,info,"920350,920350",Host header is a numeric IP address;Host header is a numeric IP address,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 Edg/139.0.0.0",False,False,False,iptables,2025-08-12T03:40:00.776862+00:00
8dd06a15,12/Aug/2025:09:07:23.091935 +0530,192.168.98.34,,192.168.98.139,GET,/DVWA/dvwa/js/dvwaPage.js,OTHER,200,0,info,"920350,920350",Host header is a numeric IP address;Host header is a numeric IP address,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 Edg/139.0.0.0",False,False,False,iptables,2025-08-12T03:40:00.776862+00:00
187e5039,12/Aug/2025:09:07:23.093029 +0530,192.168.98.34,,192.168.98.139,GET,/DVWA/dvwa/images/logo.png,OTHER,200,0,info,"920350,920350",Host header is a numeric IP address;Host header is a numeric IP address,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 Edg/139.0.0.0",False,False,False,iptables,2025-08-12T03:40:00.776862+00:00
187e5039,12/Aug/2025:09:07:23.095744 +0530,192.168.98.34,,192.168.98.139,GET,/DVWA/dvwa/images/theme-light-dark.png,OTHER,200,0,info,"920350,920350",Host header is a numeric IP address;Host header is a numeric IP address,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 Edg/139.0.0.0",False,False,False,iptables,2025-08-12T03:40:00.776862+00:00
